image_id,width,height,bbox
LEAF_0009.jpg,1024,1024,"[473, 273, 289, 335]"
LEAF_0009.jpg,1024,1024,"[588, 516, 272, 318]"
LEAF_0009.jpg,1024,1024,"[510, 780, 218, 244]"
LEAF_0009.jpg,1024,1024,"[766, 822, 246, 201]"
LEAF_0009.jpg,1024,1024,"[1, 813, 240, 211]"
LEAF_0009.jpg,1024,1024,"[1, 59, 170, 366]"
LEAF_0009.jpg,1024,1024,"[792, 1, 224, 612]"
LEAF_0009.jpg,1024,1024,"[202, 1, 273, 394]"
LEAF_0009.jpg,1024,1024,"[143, 367, 137, 294]"
LEAF_0010.jpg,1024,1024,"[33, 51, 60, 50]"
LEAF_0010.jpg,1024,1024,"[103, 30, 43, 85]"
LEAF_0010.jpg,1024,1024,"[144, 96, 27, 37]"
LEAF_0010.jpg,1024,1024,"[186, 126, 33, 32]"
LEAF_0010.jpg,1024,1024,"[224, 130, 56, 33]"
LEAF_0010.jpg,1024,1024,"[248, 89, 34, 41]"
LEAF_0010.jpg,1024,1024,"[244, 46, 45, 73]"
LEAF_0010.jpg,1024,1024,"[206, 9, 45, 39]"
LEAF_0010.jpg,1024,1024,"[183, 94, 17, 32]"
LEAF_0010.jpg,1024,1024,"[195, 74, 21, 31]"
LEAF_0010.jpg,1024,1024,"[77, 128, 47, 35]"
LEAF_0010.jpg,1024,1024,"[39, 101, 34, 44]"
LEAF_0010.jpg,1024,1024,"[19, 242, 81, 71]"
LEAF_0010.jpg,1024,1024,"[33, 311, 60, 42]"
LEAF_0010.jpg,1024,1024,"[82, 348, 48, 62]"
LEAF_0010.jpg,1024,1024,"[1, 312, 32, 104]"
LEAF_0010.jpg,1024,1024,"[12, 166, 40, 43]"
LEAF_0010.jpg,1024,1024,"[81, 187, 33, 57]"
LEAF_0010.jpg,1024,1024,"[146, 138, 45, 39]"
LEAF_0010.jpg,1024,1024,"[78, 1, 21, 46]"
LEAF_0010.jpg,1024,1024,"[54, 2, 22, 46]"
LEAF_0010.jpg,1024,1024,"[304, 12, 33, 37]"
LEAF_0010.jpg,1024,1024,"[216, 226, 35, 46]"
LEAF_0010.jpg,1024,1024,"[182, 214, 24, 39]"
LEAF_0010.jpg,1024,1024,"[132, 228, 36, 63]"
LEAF_0010.jpg,1024,1024,"[146, 287, 40, 59]"
LEAF_0010.jpg,1024,1024,"[23, 412, 78, 54]"
LEAF_0010.jpg,1024,1024,"[21, 366, 59, 50]"
LEAF_0010.jpg,1024,1024,"[25, 471, 46, 63]"
LEAF_0010.jpg,1024,1024,"[75, 500, 32, 35]"
LEAF_0010.jpg,1024,1024,"[139, 485, 48, 46]"
LEAF_0010.jpg,1024,1024,"[138, 526, 30, 52]"
LEAF_0010.jpg,1024,1024,"[195, 501, 44, 50]"
LEAF_0010.jpg,1024,1024,"[166, 458, 45, 66]"
LEAF_0010.jpg,1024,1024,"[151, 418, 34, 41]"
LEAF_0010.jpg,1024,1024,"[1, 193, 23, 48]"
LEAF_0010.jpg,1024,1024,"[215, 178, 18, 34]"
LEAF_0010.jpg,1024,1024,"[115, 577, 55, 79]"
LEAF_0010.jpg,1024,1024,"[171, 526, 48, 84]"
LEAF_0010.jpg,1024,1024,"[16, 606, 90, 52]"
LEAF_0010.jpg,1024,1024,"[131, 653, 84, 93]"
LEAF_0010.jpg,1024,1024,"[107, 692, 59, 151]"
LEAF_0010.jpg,1024,1024,"[74, 879, 108, 84]"
LEAF_0010.jpg,1024,1024,"[214, 648, 72, 78]"
